Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Toyota Prius MY18;https://forum.quattroruote.it/threads/toyota-prius-my18.112656/;07/10/2017 00:00;paulein118;;Eh si hanno fatto bene ;Toyota;Prius;positivo;;;;;;;;;;;;
Dipositivi di Illuminazione;https://www.autopareri.com/forums/topic/25082-dipositivi-di-illuminazione?&page=13#comments;06/06/2009 08:00;luc@;;Non mi sono mai interessato tanto alla questione luci diurne &amp co: qualcuno però ha mica una pagina dove sia spiegato bene quando vanno utilizzate come funzionano eccetera ? ;;;neutro;;;;;;;;;;neutro;;
Fiat 500L Living 2013;https://www.autopareri.com/forums/topic/52011-fiat-500l-living-2013?&page=36#comments;05/07/2013 08:22;Marcopolo111;;Ma soprattutto il metano fiat paga il bollo agevolato come solo metano ? ;Fiat;500L;neutro;neutro;;;;;;neutro;;;;;
Che bottarella...;https://www.bmwpassion.com/forum/threads/che-bottarella.54228/page-3;23/05/2003 00:00;El Nino;;una porsche si vende solo per un altra porsche o migliori altrimenti no.Comunque ti avevo fatto alcune domande ma vedo che non hai voglia di rispondere ! ;Porsche;;neutro;positivo;;;;;;;;;;;
BMW serie 3 - consiglio pneumatici 16 pollici;https://forum.quattroruote.it/threads/bmw-serie-3-consiglio-pneumatici-16-pollici.117130/;25/06/2018 00:00;paulein118;;Quoto l'antipatia per le runflat avute sia estive che invernali. Sterzo prontissimo ma quando mollavano erano cazz amari perchè lo facevano di ignoranza. Infatti sul viscido era quasi divertente farla scivolare quando voluto. Passato alle normali e sono moooolto più contento faccio però molta più fatica a fare il pirla. Però pensando ad una manovra di emergenza.....son contento così. ;BMW;;positivo;;;;;positivo;;;;;;;
Presentazione e consigli Cayenne;http://www.porschemania.it/discus/messages/22971/679659.html?1436185343;26/03/2015 20:51;votantonio;;L'auto e' davvero bella grazie. Domani li contatto anche se temo non abbia l'accessorio per me fondamentale: l'IVA esposta. Significa per me residente in Svizzera rinunciare al 22% di ribasso sul prezzo...;Porsche;Cayenne;positivo;positivo;;;;;;;;;;;negativo
Provata la brera!;https://www.bmwpassion.com/forum/threads/provata-la-brera.25695/page-2;22/11/2004 00:00;Roger84;;il cx è pessimo .... e cmq minor cx=minor consumo questo cmq fa capire quanta cura danno alle loro macchine in alfa.... qui stiamo cercando di trovare punti positivi che nn ci sono ... l'estetica si salva ma non è curata ... ;Alfa Romeo;Brera;negativo;negativo;;negativo;negativo;;negativo;;;;;;
SUBARU Xv  chi c'è l'ha e come va ?;https://forum.quattroruote.it/threads/subaru-xv-chi-c%C3%A8-lha-e-come-va.73711/page-6;11/04/2014 00:00;errichiello@outlook.it;;Be' dai il prima tagliando me lo sono fatto omaggiare all acquisto quindi per i primi 30000 km sono a posto.......&#128513 &#128513 &#128513 &#128513 vedremo col tempo se mi deluderà o stupirà su vari guasti e manutenzione....sono fiducioso comunque è finalmente capisco cosa vuol dire la sensazione di sicurezza in guida che ti da una Subaru......fantastica ;Subaru;Xv;positivo;molto positivo;;;;;;;;;;neutro;positivo
Opel grandland x;https://forum.quattroruote.it/threads/opel-grandland-x.119484/;21/11/2018 00:00;antoniop6685;;Ho ritirato tre settimane fa una Opel Grandland x 1600 diesel nel concessionario EDIT MOD in una giornata piovosa....il giorno dopo mi sono reso conto che la macchina presentava diverse macchie sul cofano motore è su tutto il tetto....sono andato dal concessionario immediatamente mi dicevano loro che con la lucidatura si sistemava ma purtroppo non è stato così......la risposta è che la macchina deve essere riverniciata in garanzia ....secondo voi è giusto tutto questo ? Io pretendo la sostituzione ...ma loro mi dicono che l unica cosa che possono fare è la verniciatura in garanzia... Secondo me non è giusto...la macchina prima di essere immatricolata doveva essere controllata.Qualcuno mi può aiutare o dare consigli ? Io sono rimasto molto deluso da questo concessionario non lo consiglio a nessuno... ;Opel;Grandland X;negativo;negativo;;molto negativo;;;;;;;;negativo;molto negativo
Al volante della Corolla 2.0 Hybrid Touring Sports;https://forum.quattroruote.it/threads/al-volante-della-corolla-2-0-hybrid-touring-sports.119336/;14/11/2018 00:00;paulein118;;Esiste su cubature maggiori per quale motivo tecnico ? Perchè non solo diretta ? ;Toyota;Corolla;neutro;;;;;;;neutro;;;;;
