Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Nuovo logo Lancia,https://www.autopareri.com/forums/topic/22392-nuovo-logo-lancia?&page=10#comments,2007-03-06 21:00:59,PANDA,,Skoncertante Vomitevole Non ho parole ,,,,,,,,,,,,,,
Dibattito Alfa Romeo,https://www.autopareri.com/forums/topic/12155-dibattito-alfa-romeo?&page=38#comments,2005-04-02 06:40:39,bialbero,,no per carità non estremizzo ne da un lato e ne dall'altro le colpe vanno ripartite tra diversi soggetti dico solo che Fiat cmq aveva al suo arco diverse frecce tutte potenzialmente vincenti rappresentate dai marchi di cui disponeva poteva offrire una gamma talmente vincente da far paura anche i concorrenti più forti concorrenti che hanno quasi rifondato da zero quello che avevano in casa basti vedere vw quello che ha fatto sia con audi skoda e seat ( e con se stessa ) evidentemente nella catena di comando si è inceppato un po tutto ed oggi siamo come siamo ieri a malapena distinguevamo un marchio solo dallo stemma apiccicato sulla calandra nonostante le forti diversità tecniche che ogni marchio portava in dote oggi qualcosa è cambiato ma nulla è successo affinchè quello stato di cose venisse migliorato ulteriormente. mi sono allargato nella discussione:- ) ) ,,,,,,,,,,,,,,
Ho visto una Civic X....,https://forum.quattroruote.it/threads/ho-visto-una-civic-x.110431/page-15,2017-07-11 00:00:00,sephirotmind,,Ah quasi quasi mi spiace riportare in topic la discussione ma io a genova qualcuna ne vedo bah le avranno vendute tutte qua a colazioneeeeeeee ,,,,,,,,,,,,,,
"Consumo ""anomalo"" fiesta 1.0 100cv cambio automatico",https://forum.quattroruote.it/threads/consumo-anomalo-fiesta-1-0-100cv-cambio-automatico.121995/,2019-04-02 00:00:00,edoardosavoia,,"1 ) sicuramente il cambio automatico non aiuta 2 ) confronto con gli altri. E' la classica situazione in cui semplicemente ti riferiscono consumi non calcolati precisamente o relativi a tipi di percorsi diversi 3 ) probabilmente nel giro di qualche altro migliaio di km la macchina si ""slegherà"" ancora un po' migliorando la situazione ( ma non attenderti stravolgimenti ) ",,,,,,,,,,,,,,
Jazz: una storia triste.,https://forum.quattroruote.it/threads/jazz-una-storia-triste.117410/page-4,2019-02-18 00:00:00,Utente_4291934537,,Non ho mai provato ma penso che un motore solo elettrico come coppia dolcezza di erogazione e consumi sia l'uovo di colombo e forse anche la fine di queste discussioni... ,,,,,,,,,,,,,,
Fiat Bravo (Topic Ufficiale - 2007),https://www.autopareri.com/forums/topic/23380-fiat-bravo-topic-ufficiale-2007?&page=220#comments,2008-12-02 15:17:17,calatrava,,"In un anno ho trovato molto fastidiosi i rumori della'abitacolo interno alla base dei dei montanti anteriori.....Come di un ticchettio. I ganci in acciaio del sedile posteriore li ho ""ricoperti di nastro isolante nero per limitare i rumori posteriori..... In tal senso pensavo che rispetto al passato si potesse vantare un miglioramento nell'assemblaggio ma così non è stato....... Motore 1.9 120 cv onesto ( pu non avendo un range di utilizzo amplissimo ) . Nel complesso una vettura onesta meglio di molte altre generaliste ( .......secondo me.......ormai molto vicina a prodotti come Golf VI ) con un buon margine di miglioramento per i particolari interni sopraelencati..... ",,,,,,,,,,,,,,
Recensione Civic 1.6 idtec. Aggiornamento 80.000km,https://forum.quattroruote.it/threads/recensione-civic-1-6-idtec-aggiornamento-80-000km.101046/page-6,2016-10-06 00:00:00,Barack,,Ciao a tutti ! Riprendo il post a 10 mesi dall'acquisto dopo aver raggiunto i 19.000km e il primo tagliando. Intanto il motore si slega sempre più e accanto a consumi eccellenti offre finalmente anche ottime riprese da bassi regimi. Non uso più la modalità Eco perché lo mortifica troppo a mio avviso. Il tagliando è stata una piacevole sorpresa innanzitutto per il costo: 210€ quandro per analoghi sul 1.6 tdi in Skoda non spendevo meno di 260€. Poi per l'efficienza dell'officina: avevo segnalato uno scricchiolio dalla plancia e una cattiva registrazione della seduta del sedile guida che ballava un po' ed entrambi sono stati risolti con successo. L'unico vero difetto della macchina è l'honda Connect che spesso si è bloccato facendo scattare in automatico la procedura di arresto forzato e in due occasioni invece ho dovuto farla io causa non impiegabilita del sistema. È capitato anche che non prendesse la posizione gps. Tuttavia anche in questo caso l'assistenza ha installato la nuova versione sw e al momento sembra andare tutto bene speriamo duri ! Altro difetto sono le plastiche un po' troppo fragili: quella del montante centrale lato guida è già abbondantemente segnata dalla fibbia della cintura mentre nella roomster che ha adesso 120.000km sembra nuova come il primo giorno. Voto attuale alla macchina: 8 5 pregi il comportamento stradale il confort e la versatilità. ,,,,,,,,,,,,,,
Alfa Romeo Giulietta (Topic Ufficiale - 2009),https://www.autopareri.com/forums/topic/36127-alfa-romeo-giulietta-topic-ufficiale-2009?&page=1073#comments,2010-09-15 16:41:00,blackbike,,"Scusate qualcuno mi sa dire cos'è il ""black interior"" valore 50 Euro sul configuratore necessario per acquistare il tetto apribile ? Grazie. ",,,,,,,,,,,,,,
Porsche Taycan: primi disegni ufficiali della berlina elettrica - HDmotori.it,http://www.hdmotori.it/2019/03/15/porsche-taycan-foto-berlina-elettrica-data-uscita/,2019-03-16 10:48:00,Aristarco,,eeeeh no perchè poi sai già che realmente sarà diversa e quindi ti sale per scoprire le differenze i teteschi sono intelligenti,,,,,,,,,,,,,,
Alfa Romeo Stelvio 2017,https://www.autopareri.com/forums/topic/62477-alfa-romeo-stelvio-2017?&page=264#comments,2017-05-11 09:30:31,NikoBellic,,Che scandalo ! Applicano addirittura politiche di pricing ! Marchionne uomo di finanza dimettiti 111 ! ! ! 111 ! ! ,,,,,,,,,,,,,,
FAP,https://forum.quattroruote.it/threads/fap.91542/,2015-04-23 00:00:00,NEWsuper5,'Fap. Il dpf se ben costruito uguale. Peggio se anche mal costruito come sulle prime Fiat alfa opel ecc...',Ma se il fap del gruppo PSA ha l'additivo che problemi può dare ? rifornire il serbatoio ogni tot migliaia di km ? al contrario il dpf che come additivo per la rigenerazione del filtro usa lo stesso gasolio iniettandolo nelle camere di combustione in fase di scarico ( in alcuni casi può diluire l'olio motore ) . ,,,,,,,,,,,,,,
Boxster del 2002,http://www.porschemania.it/discus/messages/502415/379461.html?1210768434,2008-05-07 16:46:00,enri_65,,Ciao sono Enri65 posseggo una 968 cabrio non conosco le boxster un mio amico \xe8 intenzionato ad acquistare una boxster 2.7 del 2002 con 60.000 km vi chiedo per cortesia informazioni sui tagliandi da effettuare con quel chilometraggio e che problematiche potrebbe avere ( se ce ne sono ) Grazie,,,,,,,,,,,,,,
New Ypsilon Sport by MomoDesign,https://www.autopareri.com/forums/topic/22359-new-ypsilon-sport-by-momodesign?&page=7#comments,2007-02-27 18:36:13,Kaleido,,ecco il logo ,,,,,,,,,,,,,,
